path,doc_type,visibility,priority,description
policies/模拟_本科生转专业实施办法_修订.md,policy,student,1,转专业申请条件、限制情形、流程和材料
policies/模拟_本科生学籍管理规定.md,policy,student,1,注册、休学、复学、保留学籍、退学、学籍证明
policies/模拟_选课退课重修补修管理办法.md,policy,student,1,选课、退课、重修、补修规则
policies/模拟_考试管理与考场规则.md,policy,student,1,考试安排、考试资格、考场纪律、违纪处理
policies/模拟_缓考补考管理办法.md,policy,student,1,缓考、补考申请和成绩记载
policies/模拟_成绩管理与成绩复核办法.md,policy,student,1,成绩构成、录入、复核和成绩证明
policies/模拟_毕业审核与学位授予办法.md,policy,student,1,毕业审核、学位授予、未达标处理
policies/模拟_结业换发毕业证书管理办法.md,policy,student,1,结业换发毕业证书流程
policies/模拟_基层教学组织建设管理办法.md,policy,teacher,3,基层教学组织建设和教学质量保障
policies/模拟_教育教学改革项目管理办法.md,policy,teacher,3,教改项目申报、立项、管理和结题
policies/模拟_实践教学实习实训毕业论文管理办法.md,policy,student,3,实践教学、实习实训、毕业论文设计
guides/模拟_成绩单办理指南.md,guide,student,1,中文和英文成绩单办理
guides/模拟_学生证补办指南.md,guide,student,1,学生证遗失、损坏、换发办理
guides/模拟_在读证明与学籍证明办理指南.md,guide,student,1,在读证明和学籍证明办理
guides/模拟_转专业办理流程说明.md,guide,student,1,转专业多轮流程问答
guides/模拟_缓考申请办理指南.md,guide,student,1,缓考申请流程和材料
forms/模拟_转专业申请表.md,form,student,2,转专业申请表字段
forms/模拟_缓考申请表.md,form,student,2,缓考申请表字段
forms/模拟_成绩复核申请表.md,form,student,2,成绩复核申请表字段
forms/模拟_学籍异动申请表.md,form,student,2,休学复学退学保留学籍表字段
forms/模拟_学分认定与课程替代申请表.md,form,student,2,学分认定和课程替代表字段
forms/模拟_毕业证明学位证明成绩单办理表.md,form,student,2,证明和成绩单办理表字段
notices/模拟_2026春季学期校历与教学周安排.md,notice,public,1,校历、教学周、考试周安排
notices/模拟_2026春季学期选课通知.md,notice,student,1,选课阶段和注意事项
notices/模拟_2026届本科毕业审核工作通知.md,notice,student,1,毕业审核通知
reports/模拟_2023-2024学年本科教学质量报告摘要.md,report,public,3,本科教学质量报告摘要模板

